date,Predictions
2025-12-20,137.50424
2025-12-21,137.0605
2025-12-22,107.48235
2025-12-23,76.01159
2025-12-24,79.527954
2025-12-25,46.78682
2025-12-26,48.581875
2025-12-27,95.649895
2025-12-28,91.16087
2025-12-31,62.799812
2026-01-01,67.37298
2026-01-02,69.73728
2026-01-03,50.812862
2026-01-04,59.773262
2026-01-05,63.607937
2026-01-06,87.977
2026-01-07,80.018974
2026-01-08,81.706566
2026-01-09,83.85186
2026-01-10,118.093704
2026-01-11,98.12205
2026-01-12,71.679276
2026-01-13,67.5874
2026-01-14,137.17181
2026-01-15,117.16112
2026-01-16,134.40675
2026-01-17,103.90557
2026-01-18,65.234314
2026-01-19,81.91532
2026-01-20,74.96202
